"Session ID","Date","Day","Start time (EDT)","End time (EDT)","Timezone","Duration (minutes)","Track","Room","Session title","Session type","Attendance format","Full description","Short summary","Description status","Speakers (name; role; company)","Speaker LinkedIn profiles","Speaker biographies","Participants named in title","Notes","Source URL","Scraped at (UTC)"
"439532","2026-09-28","Monday","08:00","09:00","EDT (UTC-04:00); America/New_York","60","Women’s Summit","The Glasshouse","Breakfast & Registration","Other","IN_PERSON","","","No description published","","","","","","https://apiro.accelevents.com/r/events/gtm2026/session/439532?expand=","Tue Sep 22 2026 12:39:59 GMT-0400 (Eastern Daylight Time)"
"439130","2026-09-28","Monday","09:00","09:10","EDT (UTC-04:00); America/New_York","10","Women’s Summit","Main Stage","Opening Remarks","Keynote Session","IN_PERSON","","How Women of Pavilion started and how it has evolved. Also, what to expect for the day and norms to uphold.","Short summary only","Rachel Krug; Co-Chair, Women of Pavilion; ","Rachel Krug: http://linkedin.com/in/rachelakrug","Rachel Krug: Not published","","","https://apiro.accelevents.com/r/events/gtm2026/session/439130?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439136","2026-09-28","Monday","09:15","10:00","EDT (UTC-04:00); America/New_York","45","Women’s Summit","Main Stage","Beyond the Handshake: Building Influence Through Relationships and Networking","Keynote Session","IN_PERSON","The strongest careers are built through trusted relationships, not the largest contact lists. In this session, Michelle Ji Yeun Kim, Rachel Rozen, and Yara Ohashi, explore how high impact GTM leaders build influence through authentic connections, strategic generosity, and long term relationship building. Learn how to expand your visibility, strengthen your executive presence, and create a network that opens doors, accelerates opportunities, and supports your career for years to come. You do not need a bigger network. You need a deeper one.","Explore how high impact GTM leaders build influence through authentic connections, strategic generosity, and long term relationship building.","Full description published","Yara Ohashi; VP, Growth Marketing; G2
Rachel Rozen; Networking Coach, Speaker & Founder; Connection Catalyst
Michelle Ji-Yeun Kim; Board Member; Women in Revenue","Yara Ohashi: http://linkedin.com/in/yara-ohashi-34572b150
Rachel Rozen: http://linkedin.com/in/rachel-rozen
Michelle Ji-Yeun Kim: http://linkedin.com/in/michellejykim","Yara Ohashi: Yara Ohashi is VP of Growth Marketing at G2, the world's largest B2B software marketplace, with more than 20 years of experience building growth strategies and high performing teams at companies including Salesforce, Zoom, Expedia, and Getty Images. A builder at heart, she has spent her career proving that the best way to earn a seat at the table is to be the person others can count on — curious, data-driven, and genuinely invested in the people around her — and is passionate about building teams and businesses where people can thrive.

Rachel Rozen: Rachel Rozen is a networking coach, speaker, and founder of Connection Catalyst. After transforming her own career through more than 300 conversations in a single year, she discovered that relationships are often the missing ingredient behind career growth, leadership effectiveness, and opportunity creation. Drawing on a career spanning hospitality, customer success, and entrepreneurship, Rachel works with leaders, teams, and organizations to strengthen relationships, increase influence, and unlock opportunities through intentional networking. Today, she helps professionals build meaningful connections and stronger networks through keynotes, workshops, coaching, and community-building experiences.

Michelle Ji-Yeun Kim: MK (Michelle Ji-Yeun Kim) is Postman's Head of Field Operations and a UC Berkeley Haas-trained Executive Coach passionate about seeing more women in GTM leadership roles. She has 16+ years of experience at B2B tech companies across all Go-To-Market functions including Revenue Operations, Sales, Marketing, and Customer Success. In her free time, Michelle serves as a non-profit Board Member for Women in Revenue, hosts a podcast called Breaking the Tech Ceiling, and is a mahjong tournament champion.","","","https://apiro.accelevents.com/r/events/gtm2026/session/439136?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439139","2026-09-28","Monday","10:05","10:35","EDT (UTC-04:00); America/New_York","30","Women’s Summit","Main Stage","Leadership Without Self Abandonment","Keynote Session","IN_PERSON","Leadership Without Self Abandonment brings together Lilah Jones, Shannon Plumb, and Alice Heiman for a candid conversation about what it takes to lead, grow revenue, and stay connected to yourself in high pressure environments. This panel will explore how inner critics, external expectations, and constant performance pressure can pull leaders away from their own judgment. Attendees will walk away with practical ways to reclaim their inner voice, protect their energy, and lead with conviction without sacrificing themselves in the process.","A candid conversation about what it takes to lead, grow revenue, and stay connected to yourself in high pressure environments.","Full description published","Hannah Ajikawo; CSO - Enablement Services; Revenue Funnel
Kendra Morales; Head of GTM & Operations; Captivate Talent
Alice Heiman; Chief Sales Energizer; Alice Heiman, LLC
Shannon Plumb; CEO & Founder; Purl Advisors
Lilah Jones; Speaker, Facilitator, Coach; LilahJones.com","Hannah Ajikawo: Not published
Kendra Morales: http://linkedin.com/in/kendraleighmorales
Alice Heiman: http://linkedin.com/in/aliceheiman
Shannon Plumb: http://linkedin.com/in/shannonplumb
Lilah Jones: http://linkedin.com/in/lilahjones","Hannah Ajikawo: Not published

Kendra Morales: Kendra Morales is the Head of GTM & Operations at Captivate Talent, where she helps founders build the leadership teams behind high-growth SaaS companies. After decades in executive search, she's watched brilliant products fail and average ideas become category leaders, and she's convinced the difference is almost always leadership.

Her own path has been anything but traditional. While building a successful recruiting career, she also served in Army Intelligence, founded and led a nonprofit supporting homeless and working-poor families for eight years, and volunteered teaching yoga and meditation in correctional facilities. Those experiences shaped a perspective she brings to every founder, leader, and team she works with: great companies are built by leaders who know how to recognize potential, challenge it, and help it grow.

Alice Heiman: As Chief Sales Energizer, Alice is internationally known for her expertise in elevating sales to increase valuation for companies with a B2B sale that have exceptional growth potential. Spending her time strategizing with CEOs, company leaders and their sales leadership to build the strategies that find new business and grow existing accounts is her passion.  Her clients love her spirit and the way she energizes their sales organization. She’s the host of the popular podcast, Sales Talk for CEOs. Alice dedicates time to local entrepreneurs and has been teaching at the University of Nevada in the entrepreneurship minor which she helped inspire. Alice also serves on the board of several growing companies to energize and elevate their sales. When she is not guiding CEOs to elevate their sales, she can be found hanging out with her family, walking, snow skiing, sailing in Lake Tahoe, volunteering in the community, or reading a book in her backyard.

Shannon Plumb: Shannon Plumb spent her first career on stage as a professional ballerina, then spent the next twenty years proving the same discipline that works in performance also works in revenue. She was an executive leader through three exits, scaling companies from $1M to $30M+ ARR and generating over $100M along the way.

Now as the founder of Purl Advisors, she helps companies scale with GTM strategy and coaches women through the inflection points that quietly decide everything else. She's Head of Community for Women in Sales, an adjunct professor at the University of Colorado Leeds School of Business, and a Techstars All-Star Mentor. Her new podcast, """"""""The Real T,"""""""" launches in October.

Authenticity isn't a soft skill. It's the strategy.

Lilah Jones: Lilah Jones spent nearly a decade as a founding member of Google Cloud's sales organization, helping grow the business from startup to a $106B enterprise powerhouse. During her 20+ year career in Big Tech, including leadership roles at Google, Microsoft, and Oracle, she worked with Fortune 500 organizations navigating some of the most significant transformations in business.

At Google, Lilah also became a trusted facilitator of psychological safety, helping leaders create environments where people feel empowered to contribute, collaborate, and perform at their highest level.

Despite a career filled with success, Lilah discovered that achievement alone doesn't guarantee fulfillment. That realization led her to develop The Activation Methodology™, a leadership framework that helps individuals and teams move from uncertainty to action, from hesitation to confidence, and from potential to meaningful impact.

Today, Lilah is a keynote speaker, leadership expert, and executive coach who has helped thousands of professionals navigate change, strengthen their leadership, and align their success with what matters most.

Her work combines Fortune 100 business experience, leadership development, and practical tools for personal transformation, helping audiences create results that are sustainable, meaningful, and lasting.

Lilah's mission is simple: help people stop waiting for permission and start leading from who they already are.","","","https://apiro.accelevents.com/r/events/gtm2026/session/439139?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439143","2026-09-28","Monday","10:35","10:45","EDT (UTC-04:00); America/New_York","10","Women’s Summit","Exhibitor Hall & Main Stage","Morning Break","Break","IN_PERSON","","","No description published","","","","","","https://apiro.accelevents.com/r/events/gtm2026/session/439143?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439163","2026-09-28","Monday","10:45","11:15","EDT (UTC-04:00); America/New_York","30","Women’s Summit","Main Stage","The Messy Middle of Success","Keynote Session","IN_PERSON","Women Executives are so successful on paper, and have worked hard to achieve high levels of professional and financial success, but in the messy middle of their careers they start asking questions about what's next or if this is what I still want.","How to keep evolving within a role or decide on a pivoted path","Full description published","Stephanie Blair; CEO & Founder; KNOW & FLOURISH","Stephanie Blair: http://linkedin.com/in/blairstephanie","Stephanie Blair: """"""Stephanie Blair is the Founder & CEO of Know & Flourish, a professional growth advisory firm that helps executives and organizations navigate transformation, leadership, and scale. A longtime Pavilion Executive Member and GOLD member coach, she is known as a trusted advisor, change architect, and growth catalyst to senior leaders across Fortune 500 companies, high-growth tech firms, and consulting organizations.

After beginning her career in advertising at the New York Daily News, Stephanie rapidly advanced at a high-growth SaaS company, becoming Managing Director for Europe, the Middle East, and Africa by age 28. Her experience leading through global growth and digital transformation—combined with her own journey from corporate executive to entrepreneur—shapes her distinctive perspective on leadership, reinvention, and sustainable success.

Today, Stephanie frequently delivers keynote addresses at global leadership summits and innovation forums and is a featured guest on leading business and leadership podcasts. She was recently recognized by the Upside Impact Index 2025 for empowering high-achieving women. Her RESET framework has guided hundreds of leaders through pivotal career and growth moments and will soon be featured in her forthcoming book""","","","https://apiro.accelevents.com/r/events/gtm2026/session/439163?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439164","2026-09-28","Monday","11:20","11:50","EDT (UTC-04:00); America/New_York","30","Women’s Summit","Main Stage","Writing Your Own Permission Slip","Keynote Session","IN_PERSON","Careers rarely move in a straight line, and Betsy's didn't either. She wanted to be a teacher, started in hospitality, jumped to marketing, landed in advertising SaaS, and finally earned the management role she'd always wanted, only to find it didn't fulfill her the way she expected.","","Full description published","Betsy Wilson; Director, Account Management; QuotaPath","Betsy Wilson: http://linkedin.com/in/betsyblack","Betsy Wilson: Betsy Wilson has spent 14 years in customer-facing roles across ad tech, PR software, and social media before landing at QuotaPath, where she's grown from Senior Customer Success Manager to Director of Account Management, now running strategic services. The path wasn't a straight line, but the through line never changed: it was the mentors and champions who shaped her path. During her session, she talks about those who influenced her and how to pay that forward.","","","https://apiro.accelevents.com/r/events/gtm2026/session/439164?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439166","2026-09-28","Monday","11:55","12:25","EDT (UTC-04:00); America/New_York","30","Women’s Summit","Main Stage","Leading in the AI Era: Trust, Adaptability, and Human Judgment","Keynote Session","IN_PERSON","AI is changing how teams operate, how customers engage, and how leaders make decisions. This panel brings together Jen Spencer, Hailey McDonald, Larysa Zakirova, and Tanya Little for a practical conversation about what leadership requires when humans and AI now work side by side. Together, they will explore how operators can recognize patterns, build trust, adapt quickly, and keep human judgment at the center of growth. From leading hybrid human and AI teams, to navigating client success in a world of automation, to drawing on the resilience of women who had to figure things out , this session will show why the AI era needs more human leadership, not less.","Practical conversation about what leadership requires when humans and AI now work side by side.","Full description published","Patricia DuChene; Chief Revenue Officer; Sendoso
Tanya Little; Chief Growth Officer; Vitality Group
Larysa Zakirova; Chief Operating Officer; INFUSE
Hailey McDonald; VP of Revenue Marketing; Sprout Social
Jen Spencer; Chief Growth Officer; Booth","Patricia DuChene: https://linkedin.com/in/duchenepatricia
Tanya Little: http://linkedin.com/in/tanya-little
Larysa Zakirova: http://linkedin.com/in/larysa-zakirova
Hailey McDonald: http://linkedin.com/in/haymcdee
Jen Spencer: http://linkedin.com/in/jenspencer","Patricia DuChene: Patricia DuChene is Chief Revenue Officer at Sendoso, where she leads sales, marketing, and AI initiatives across go-to-market. Her career has spanned GTM leadership roles in B2B SaaS, most recently as the CRO of Postal prior to the acquisition of Postal by Sendoso.

Prior to working in direct mail and gifting, she served as the VP of Sales and GM for EMEA & APAC of Wrike, building the company's international GTM team in Dublin, Melbourne, Tokyo, and Kyiv. 

Outside of work, she's committed to advancing women in leadership through her partnerships with Women in Sales and Wednesday Women. When she's not talking GTM, she's spending time with her family, eating hot wings or training for a triathlon she's grossly under-qualified for.

Tanya Little: Tanya is a Principal at Ripple Advisory, a growth advisory practice for Series B+ B2B leaders, and a certified Outgrow Advisor. She serves as Chief Growth Officer at Vitality, a global B2B digital health company, where she led a 255% revenue expansion over five years. 

Tanya works with Series B+ companies to eliminate revenue inconsistency, scale growth, and build high-performing teams. Her work spans sales strategy and mobilization, executive and sales coaching, pitch training, SKO facilitation and change leadership. She also helps leaders to implement Outgrow, a proven system that grows revenue predictably by 15-30% with existing people and tech.

Tanya’s perspective has been built from every seat at the table. She cut her teeth at Goldman Sachs, consulted at McKinsey and Accenture, and spent a decade at specialist bank Investec, helping management teams shift from founder-led heroics to repeatable sales systems. She previously served as COO of publicly listed Life Healthcare.

Tanya holds an MSc from the London School of Economics and trained at the Process Work Institute in Portland, Oregon. She is an active member of Pavilion, the Women Business Leaders of the US Health Care Industry Foundation, and CHIEF.

Larysa Zakirova: Larysa Zakirova is Chief Operating Officer at INFUSE, where she leads strategy and operations for a department supporting 1,000+ B2B clients across 20+ industries. She has helped drive INFUSE’s rapid expansion, scaling the organization from 5 to 1,000+ employees, opening six global offices, and growing the client base by 1,800%. With an executive background spanning IT and marketing strategy, including Account-Based Marketing and intent-driven programs, Larysa bridges go-to-market goals with operational execution. She partners with clients on needs ranging from brand and campaign strategy to marketing automation and technical delivery, bringing rigor and clarity to complex challenges while building high-performing teams and long-term partnerships.

Hailey McDonald: Not published

Jen Spencer: Jen Spencer is a growth executive, keynote speaker, and author with more than 20 years of experience scaling SaaS and services companies. As Chief Growth Officer at Booth — the people-first global talent and managed outsourcing company — she owns the full revenue engine across sales, marketing, and client success, and leads its market-diversification and AI-enabled growth strategy. Previously, as CEO of SmartBug Media, she grew one of North America's fastest-growing marketing agencies from roughly 50 to 300+ people through multiple acquisitions, following senior roles at Allbound and nettime solutions. Her debut book, Lead Anyway: How to Build the Career You Want When the Rules Weren't Written for You (Life Sized Publishing, 2025), reframes leadership as presence over perfection. At the Pavilion Women's Summit, Jen shares a practitioner's view of how AI is reshaping the growth engine — and what revenue leaders should be building now.","","","https://apiro.accelevents.com/r/events/gtm2026/session/439166?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439144","2026-09-28","Monday","12:30","13:15","EDT (UTC-04:00); America/New_York","45","Women’s Summit","Exhibitor Hall & Main Stage","Lunch & Sponsor Booths","Break","IN_PERSON","","","No description published","","","","","","https://apiro.accelevents.com/r/events/gtm2026/session/439144?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
"439167","2026-09-28","Monday","13:15","13:45","EDT (UTC-04:00); America/New_York","30","Women’s Summit","Main Stage","Women's Leadership in the AI Era","Keynote Session","IN_PERSON","AI did not suddenly make accomplished women less capable. But it has introduced an entirely new vocabulary for skills many women leaders already use every day.

Giving clear direction became prompt engineering. Building repeatable processes became workflows. Providing context, managing ambiguity, asking better questions, and exercising judgment became the foundations of effective AI leadership.

So why do so many accomplished women still feel behind?

In this fireside conversation, Leah Russo, Vice President of Marketing at Clearco, and Allison Moore, CEO of Chief, will examine what the AI transition is revealing about confidence, credibility, experimentation, and who feels entitled to claim expertise.

They’ll explore the difference between learning genuinely new technology and recognizing the value of capabilities women have spent years developing. They’ll also discuss how leaders can create the psychological safety people need to experiment before they feel confident, and how to ensure AI reduces the burden of leadership instead of becoming one more thing women are expected to master.

This is not a conversation about becoming more technical or keeping up with every new tool. It is about learning the technology without allowing unfamiliar terminology to erase the evidence of your existing competence.

Attendees will leave with a clearer understanding of:

• Why feeling behind is not always the same as being behind
• Which leadership skills become more valuable as AI handles more execution
• How to build credibility when everyone is still learning
• Why experimentation must come before confidence
• How to use AI to create leverage and reduce mental load

Most importantly, they’ll leave with a more useful question than “Do I know enough?”

What am I ready to try next?","What AI Is Revealing About Women, Leadership, and Expertise","Full description published","Allison Moore; CEO; Chief
Leah Russo; VP of Marketing; Clearco","Allison Moore: https://linkedin.com/in/alisonmoore1
Leah Russo: https://linkedin.com/in/leahrusso","Allison Moore: Not published

Leah Russo: Leah Russo is Vice President of Marketing at Clearco, where she leads brand, product marketing, demand generation, and communications. She believes the strongest go-to-market strategies combine customer evidence, AI, and data with distinctive branding and clear, memorable ideas that drive action.

With more than 15 years of experience across marketing, marketing operations, and RevOps, Leah specializes in turning buyer behavior into sharper positioning, smarter decisions, and measurable growth. She is also the founder of Novara, co-leads Women of Pavilion, and was named one of the Top 50 GTM Women Voices in the US for 2026.","","","https://apiro.accelevents.com/r/events/gtm2026/session/439167?expand=","Tue Sep 22 2026 12:39:58 GMT-0400 (Eastern Daylight Time)"
