Day,Session Time,Room,Session Title,Speaker(s)
"Wednesday, September 30",,,,
"Wednesday, September 30",9:00 AM-9:40 AM,Mainstage,The Decade Ahead,"Sam Jacobs, CEO & Founder, Pavilion"
"Wednesday, September 30",9:45 AM - 10:25 AM,Mainstage,The Live Pulse: What This Room Actually Believes About AI,"Andy Jolls Founder/CEO	Roxology, LLC"
,,,,"Jonathan Moss, EVP - Growth, Partnerships and Incubation	Experity "
"Wednesday, September 30",10:30 AM - 11:00 AM,Mainstage,AI in the Operating Trenches: Fireside Chat,"Jamie Domenici, CMO, Klaviyo"
,,,,"Ryan Meadows, CRO, Lovable"
,,,,"Julia Segel, VP Sales & Success, Pavilion"
"Wednesday, September 30",11:00 AM- 11:30 AM,BREAK,,
"Wednesday, September 30",11:30 AM - 12:10 PM,Breakout 1,The Bottleneck Is Culture,"Chris Savage, Founder & CEO, Wistia"
"Wednesday, September 30",11:30 AM - 12:10 PM,Breakout 2,Leading GTM Teams Through AI Uncertainty,"Amanda Cole, CMO, Bloomreach"
"Wednesday, September 30",11:30 AM - 12:10 PM,Mainstage,Winning with Your New Board,"Andrew Mahr, CRO, WPromote x Giant Spoon"
"Wednesday, September 30",12:15 PM- 1:30 PM,LUNCH,,
"Wednesday, September 30",1:30 PM - 2:10 PM,Breakout 1,Winning the Answer: How to be found in the age of AI,"Eric Gilpin, President, G2"
"Wednesday, September 30",1:30 PM - 2:10 PM,Breakout 2,The Trust Collapse: What Enterprise Buyers Actually Think About Your AI Strategy & Your Credibility,"Victoria Albert, CMO, Infuse"
"Wednesday, September 30",1:30 PM - 2:10 PM,Mainstage,"The GTM Operating System: How Modern CMOs Build Alignment, Trust & Compounding Growth","Allison Munro, CMEO, Vena Solutions"
"Wednesday, September 30",2:15 PM - 2:55 PM,Breakout 1,PE/VC and the AI Use Cases That Matter,"AJ Gandhi, Chief Commercial Officer, Alix"
"Wednesday, September 30",2:15 PM - 2:55 PM,Breakout 1,Partner Revenue Is Finally Predictable. Here is the Agentic Playbook.,"Greg Portnoy, CEO & CO-Founder, Euler"
"Wednesday, September 30",2:15 PM - 2:55 PM,Mainstage,How to Lead People When No One Knows Anything,"Rick Smolen, CRO, ShipHero"
"Wednesday, September 30",2:15 PM - 2:55 PM,Breakout 2,AI Everywhere. ROI Anywhere?,"Pablo Dominguez, Operating Partner, Insight Partners"
,,,,"Kyle Himmelwright, VP of GTM & Co-Founder, Luster"
"Wednesday, September 30",3:00 PM - 3:30 PM,BREAK,,
"Wednesday, September 30",3:30 PM - 4:10 PM,Breakout 1,"If AI Isn't Increasing Revenue Per Employee, You're Doing It Wrong","Devang Agrawal, Co-Founder & CTO, Airspeed"
"Wednesday, September 30",3:30 PM - 4:10 PM,Mainstage,Three Numbers to Rethink Before You Lock 2027,"Amy Konary, SVP, Zuora"
"Wednesday, September 30",3:30 PM - 4:10 PM,Breakout 2,AI Everywhere. ROI Anywhere?,"Pablo Dominguez, Operating Partner, Insight Partners"
,,,,"Kyle Himmelwright, VP of GTM & Co-Founder, Luster"
"Wednesday, September 30",4:15 PM - 4:45 PM,Mainstage,Building the AI - Native Company: Four Founders on What Comes Next,"Joshua Perk, CEO & Co-Founder, Vector"
,,,,"Daniel Lee, CEO & Co-Founder, Nooks"
,,,,"Nico Chinot, Founder (US), Dust"
,,,," Linda Lian, CEO & Co-Founder, Common Room"
,,,,"Michelle Koyuncu, COO, Pavilion"
"Wednesday, September 30",4:50 PM- 5:00 PM,Mainstage,Day 1 Close & A Moment of Appreciation,"Sam Jacobs, CEO & Founder, Pavilion"
"Wednesday, September 30",5:00 PM- 6:30 PM ,Welcome Reception,,
"Thursday, October 1",,,,
"Thursday, October 1",9:00 AM - 9:15 AM,Mainstage,Welcome Remarks ,"Mike Hoffman, Pavilion NYC Co-Chapter Head"
,,,,"Andrea Kayal, Pavilion NYC Co-Chapter Head"
"Thursday, October 1",9:15 AM - 10:00 AM,Mainstage,Geoff Moore Fireside Chat w/ Sam Jacobs,"Geoff Moore, Author Crossing the Chasm & Sam Jacobs, CEO & Founder, Pavilion"
"Thursday, October 1",10:00 AM- 10:15 AM,BREAK,,
