Session ID,Date,Day,Start time (EDT),End time (EDT),Track,Room,Session title,Session type,Full description,Short summary,Speakers (name; role; company),Source URL
cg-all-0800,2026-09-29,Tuesday,08:00,09:00,CRO Circle | CMO Circle | RevOps Circle | CEO Circle,The Glasshouse,Check-in + Networking Breakfast + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/
cg-cro-0900,2026-09-29,Tuesday,09:00,09:15,CRO Circle,Breakout 2,"Old Foundations. New Foundations",Regular Session,"Opening talk framing the four CRO foundations that have not changed and how AI is reshaping each. MC for the day.",,Brian Walsh; Managing Director; Force Management,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-0915,2026-09-29,Tuesday,09:15,09:40,CRO Circle,Breakout 2,"Block 1 · Your Role & Team — Future-proofing the CRO: doom, optimism, and the gray in between",Regular Session,"Block 1 talk on what the CRO role and team look like in a hybrid human/agent organization.",,Christopher Gannon; Founder & CEO; Captivate Talent,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-0940,2026-09-29,Tuesday,09:40,10:10,CRO Circle,Breakout 2,"Table work — Future-proof your role & team",Regular Session,"Redesign role, team structure and operating rhythm for a hybrid human/agent org.",,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1010,2026-09-29,Tuesday,10:10,10:30,CRO Circle,Breakout 2,"Re-share + synthesize — role and team redesigns",Regular Session,"Tables report back; MC synthesizes redesigns into shared principles.",,Brian Walsh; Managing Director; Force Management,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1030,2026-09-29,Tuesday,10:30,10:45,CRO Circle,Breakout 2,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1045,2026-09-29,Tuesday,10:45,11:00,CRO Circle,Breakout 2,"Block 2 · Tech: Build vs Buy — Where AI actually pays back",Regular Session,"Block 2 talk on where AI spend actually returns in the revenue org.",,Zach Gropper; CEO & Founder; UserGems,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1100,2026-09-29,Tuesday,11:00,11:30,CRO Circle,Breakout 2,"Table work — Build, buy, rip out",Regular Session,"Four spend decisions per table: one in-house build, one buy, one redundant tool to eliminate, and the payback metric for each.",,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1130,2026-09-29,Tuesday,11:30,12:00,CRO Circle,Breakout 2,"Re-share + synthesize — build calls and rip-outs",Regular Session,"Tables report back; review of build/buy alignment and defensible payback numbers.",,Zach Gropper; CEO & Founder; UserGems,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1200,2026-09-29,Tuesday,12:00,12:45,CRO Circle,Breakout 2,Networking Lunch + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cro
